Department,District,Business,Adress,Acceptance,Category,Sub-category,Contact,Instagram,Facebook,X,Website
San Miguel,San Jorge,Variedades Quintanilla,"13.4571312, -88.2911733",No,,,-,,,,
San Miguel,San Jorge,LA KZONA BEER,"13.4549626, -88.2923612",No,,,7526 4050,,,,
San Miguel,San Jorge,Tienda Mary,"13.4601909, -88.2884883",No,Retail,Retailers,6988 3452,,,,
San Miguel,San Jorge,Sunnyside - Artículos para bebés y niños,"13.4451041, -88.2461183",No,,,6454 6107,,,,
San Miguel,San Jorge,Clínica Naturista Bichara,"13.4504475, -88.2209072",No,Health,Health services,-,,,,
San Miguel,San Jorge,"Tienda ""Los Gemelos""","13.448954, -88.22362",No,Retail,Retailers,6057 2265,,,,
San Miguel,San Jorge,Pupuseria La Champa de Ana,"13.4485692, -88.2237728",No,Food & Beverage,Restaurants,7190 7351,,,,
San Miguel,San Jorge,Pupuseria y cervecería Betty,"13.4538601, -88.2231867",No,Food & Beverage,Restaurants,-,,,,
San Miguel,San Jorge,Casa el conejo,"13.4499537, -88.2257542",No,,,-,,,,
San Miguel,San Jorge,Tienda y Agroservicio el Mangon,"13.4552654, -88.223816",No,Retail,Retailers,6057 2265,,,,
